candidate_id,schema_id,run_id,replicate_index,episode_index,step_index,tier,state_cell_id,action_cell_id,action_index,selection_mode,q_value_before
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,16,1,"StateCellId(tier=1, ordinal=9)","ActionCellId(tier=1, ordinal=3)",6,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,17,1,"StateCellId(tier=1, ordinal=5)","ActionCellId(tier=1, ordinal=70)",9,epsilon_explore,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,18,2,"StateCellId(tier=2, ordinal=48)","ActionCellId(tier=2, ordinal=85)",2,epsilon_explore,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,19,2,"StateCellId(tier=2, ordinal=46)","ActionCellId(tier=2, ordinal=117)",10,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,20,2,"StateCellId(tier=2, ordinal=53)","ActionCellId(tier=2, ordinal=123)",2,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,21,0,"StateCellId(tier=0, ordinal=53)","ActionCellId(tier=0, ordinal=89)",3,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,22,2,"StateCellId(tier=2, ordinal=54)","ActionCellId(tier=2, ordinal=141)",1,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,23,2,"StateCellId(tier=2, ordinal=51)","ActionCellId(tier=2, ordinal=157)",5,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,24,2,"StateCellId(tier=2, ordinal=56)","ActionCellId(tier=2, ordinal=158)",4,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,25,2,"StateCellId(tier=2, ordinal=51)","ActionCellId(tier=2, ordinal=156)",3,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,26,2,"StateCellId(tier=2, ordinal=58)","ActionCellId(tier=2, ordinal=162)",11,epsilon_explore,0.0
