arm_id,concrete_step_count,invalid_move_count,invalid_move_rate
plate_support_direct_concrete_baseline,6017,2142,0.3559913578195114
plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,6008,0,0.0
