candidate_id,schema_id,health_status,episode_count,success_count,source_training_health_stage
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,trainable_clean,32,3,plate_support_gauntlet_tower_training_health_v001
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,trainable_clean,32,8,plate_support_gauntlet_tower_training_health_v001
