arm_id,episode_count,mean_step_count,mean_steps_per_target_hit
plate_support_direct_concrete_baseline,128,47.0078125,401.1333333333333
plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,128,46.9375,240.32
