run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 10.698219749261625, ""linearization_setup"": 0.8526902911253273, ""total"": 11.550910040386952}"
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 263.22520923707634, ""linearization_setup"": 0.503225167049095, ""total"": 263.72843440412544}"
