evaluation_id,run_id,instance_id,arm_id,numerator,denominator,schema_seed,seed_bundle_id,replicate_index,status,artifact_root,started_at,ended_at,failure_reason
counterpoint_contraction_fraction_sweep_diagnostics_v001,counterpoint_symbolic_n3_small_v001-no_contraction_control-schema0-rep0,counterpoint_symbolic_n3_small_v001,no_contraction_control,0,18,0,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/contraction_fraction_sweep_diagnostics/artifacts/smoke_001,2026-06-01T21:16:39.339359+00:00,2026-06-01T21:16:39.521022+00:00,
counterpoint_contraction_fraction_sweep_diagnostics_v001,counterpoint_symbolic_n3_small_v001-n01_over_18-schema0-rep0,counterpoint_symbolic_n3_small_v001,n01_over_18,1,18,0,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/contraction_fraction_sweep_diagnostics/artifacts/smoke_001,2026-06-01T21:16:39.538730+00:00,2026-06-01T21:16:39.793717+00:00,
counterpoint_contraction_fraction_sweep_diagnostics_v001,counterpoint_symbolic_n3_small_v001-n06_over_18-schema0-rep0,counterpoint_symbolic_n3_small_v001,n06_over_18,6,18,0,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/contraction_fraction_sweep_diagnostics/artifacts/smoke_001,2026-06-01T21:16:39.828122+00:00,2026-06-01T21:16:40.195229+00:00,
