candidate_id,schema_id,learner_update_count,mean_abs_td_error,max_abs_td_error
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,1558,1.1748282553754807,100.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,1444,1.5328396192217797,100.0
