candidate_id,schema_id,run_count,concrete_step_count,valid_step_count,invalid_move_count,self_transition_count,terminal_step_count
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,2,1558,1558,0,0,3
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,2,1444,1444,0,0,8
