run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 0.21816658950410783, ""linearization_setup"": 0.004678291967138648, ""total"": 0.22284488147124648}"
counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 0.25322279112879187, ""linearization_setup"": 0.008779707946814597, ""total"": 0.26200249907560647}"
