evaluation_id,candidate_group_id,schema1_candidate_id,instance_id,arm_id,numerator,denominator,requested_rate,selector_rule_id,schema_seed,tier_state_cell_count_sequence,tier_active_action_cell_count_sequence,parent_training_health_class,parent_concrete_step_count,parent_learner_update_count,selected,exclusion_reason
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema0,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,0,"[108, 100]","[1140, 1132]",trainable_clean,32,40,True,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,1,"[108, 104]","[1140, 1136]",trainable_clean,32,40,False,
