candidate_group_id,seed_bundle_id,training_replicate_index,schema_class_id,run_id,post_hit_window_mean,post_hit_window_min,post_hit_window_success_count,threshold_margin_mean,threshold_margin_min,threshold_success_fraction,schema1_minus_schema0_post_hit_window_mean,schema1_minus_schema0_post_hit_window_min,schema1_minus_schema0_post_hit_success_count
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,seed-7fe8666539580bdb,0,schema0_no_contraction,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,,,,,,,,,
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,seed-7fe8666539580bdb,0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,,,,,,,,,
