evaluation_id,schema_class_id,active_tier,failure_reason,event_count
counterpoint_small_paired_replicate_probe_v001,schema0_no_contraction,0,,32
counterpoint_small_paired_replicate_probe_v001,schema1_noisy_rate_one_drop,21,,6
counterpoint_small_paired_replicate_probe_v001,schema1_noisy_rate_one_drop,22,,20
counterpoint_small_paired_replicate_probe_v001,schema1_noisy_rate_one_drop,4,,4
counterpoint_small_paired_replicate_probe_v001,schema1_noisy_rate_one_drop,9,,2
