run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 10.50405616813805, ""linearization_setup"": 0.9090341660194099, ""total"": 11.41309033415746}"
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 263.338663874194, ""linearization_setup"": 0.4734084588708356, ""total"": 263.81207233306486}"
