schema_class_id,run_count,sustained_hit_count,transient_hit_count,never_hit_count,artifact_incomplete_count,sustained_hit_rate,median_episodes_to_sustained_hit,mean_episodes_to_sustained_hit,median_post_hit_window_mean,median_post_hit_window_min,mean_post_hit_window_success_count
schema0_no_contraction,1,0,1,0,0,0.0,,,,,
schema1_noisy_rate_one_drop,1,0,1,0,0,0.0,,,,,
