arm_id,run_count,episode_count,mean_return,std_return,ci95_lower,ci95_upper,bootstrap_lower,bootstrap_upper,delta_vs_direct_tabular_q,delta_vs_empty_tower,schema_seed_count,schema_seed_return_std,status
direct_masked_random,64,64,12.790190972222222,0.3241016499038681,12.710786067995775,12.869595876448669,12.716536458333334,12.863975694444443,0.09375,0.08046874999999964,0,,complete
direct_tabular_q,64,64,12.696440972222222,0.2638090330997635,12.63180775911278,12.761074185331664,12.633159722222222,12.762934027777778,0.0,-0.013281250000000355,0,,complete
tower_empty_exploit_explore_tabular_q,64,64,12.709722222222222,0.2747056750722701,12.642419331829515,12.777025112614929,12.64275173611111,12.76853298611111,0.013281250000000355,0.0,0,,complete
tower_random_balanced_exploit_explore_tabular_q,192,192,4.236574074074074,6.009155831847942,3.3865740784797183,5.08657406966843,3.372048611111111,4.964279513888889,-8.459866898148148,-8.473148148148148,3,5.991420513553793,complete
tower_random_unbalanced_exploit_explore_tabular_q,192,192,8.473148148148148,6.011226565118373,7.6228552456430725,9.323441050653225,7.552488425925926,9.26931423611111,-4.223292824074074,-4.236574074074074,3,5.991420513553793,complete
tower_motion_exploit_explore_tabular_q,64,64,12.709722222222222,0.2747056750722701,12.642419331829515,12.777025112614929,12.649696180555555,12.772656249999999,0.013281250000000355,0.0,0,,complete
tower_bad_exploit_explore_tabular_q,64,64,12.709722222222222,0.2747056750722701,12.642419331829515,12.777025112614929,12.638064236111111,12.780902777777778,0.013281250000000355,0.0,0,,complete
