calibration_arm_id,calibration_arm_type,candidate_id,schema_id,source_stage_id,trace_source,source_run_id,replicate_index,episode_index,episode_seed,status,step_count,total_reward,terminated,truncated,goal_reached,blocked_reason
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,0,complete,34,67.0,True,False,1,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,1,1,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,2,2,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,3,3,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,4,4,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,5,5,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,6,6,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,7,7,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,8,8,complete,12,89.0,True,False,1,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,9,9,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,10,10,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,11,11,complete,50,-50.0,False,True,0,
tower_candidate_0,selected_trainable_candidate_reused_stage4_trace,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,plate_support_gauntlet_tower_training_health_v001,stage4_training_health,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,12,12,complete,50,-50.0,False,True,0,
