evaluation_id,run_id,candidate_id,instance_id,arm_id,schema_seed,seed_bundle_id,training_replicate_index,episode_index,controller_event_index,active_tier,abstract_action,realized_action,candidate_count,success,failure_reason,fiber_departure_reason
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,0,1,1,"ActionCellId(tier=1, ordinal=1322)","(0, -1, -1)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,0,2,1,"ActionCellId(tier=1, ordinal=1561)","(0, 1, 1)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,0,3,1,"ActionCellId(tier=1, ordinal=1866)","(2, 0, 1)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,0,4,1,"ActionCellId(tier=1, ordinal=2728)","(0, 1, 2)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,0,6,1,"ActionCellId(tier=1, ordinal=1432)","(-2, -2, -2)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,0,8,0,"ActionCellId(tier=0, ordinal=328)","(0, 1, -1)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,0,9,0,"ActionCellId(tier=0, ordinal=635)","(2, 1, 1)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,0,11,0,"ActionCellId(tier=0, ordinal=1004)","(-2, -2, -1)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,1,1,1,"ActionCellId(tier=1, ordinal=1315)","(0, 0, 0)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,1,2,1,"ActionCellId(tier=1, ordinal=3086)","(2, 1, 1)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,1,3,1,"ActionCellId(tier=1, ordinal=1955)","(0, 0, 0)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,1,4,1,"ActionCellId(tier=1, ordinal=2233)","(0, 0, 2)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,1,6,1,"ActionCellId(tier=1, ordinal=1438)","(2, 1, 0)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,1,8,0,"ActionCellId(tier=0, ordinal=514)","(0, 0, 0)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,1,9,0,"ActionCellId(tier=0, ordinal=799)","(0, 2, 1)",1,True,,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2,counterpoint_symbolic_n3_small_v001,p001_over_036,2,seed-7fe8666539580bdb,0,1,11,0,"ActionCellId(tier=0, ordinal=1123)","(0, -2, -1)",1,True,,
