evaluation_id,schema_class_id,run_count,sustained_hit_count,transient_hit_count,never_hit_count,artifact_incomplete_count,sustained_hit_rate,median_episodes_to_sustained_hit
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,1,0,1,0,0,0.0,
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,0,0,1,0,0.0,
