arm_id,run_id,category,seconds
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep0,total,0.39542400365462527
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep0,algorithm_online,0.42535458580823615
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep0,linearization_setup,0.022965084004681557
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep0,total,0.4483196698129177
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep1,algorithm_online,0.36878718121442944
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep1,linearization_setup,0.02282320795347914
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep1,total,0.3916103891679086
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep1,algorithm_online,0.36559216043679044
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep1,linearization_setup,0.022708083037286997
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep1,total,0.38830024347407743
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep1,algorithm_online,0.423188318440225
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep1,linearization_setup,0.023597792955115438
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep1,total,0.4467861113953404
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep2,algorithm_online,0.3857565807993524
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep2,linearization_setup,0.04497562500182539
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep2,total,0.43073220580117777
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep2,algorithm_online,0.36864924436667934
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep2,linearization_setup,0.042066208086907864
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep2,total,0.4107154524535872
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep2,algorithm_online,0.4311012058169581
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep2,linearization_setup,0.04255004203878343
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep2,total,0.47365124785574153
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep3,algorithm_online,0.3566478698630817
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep3,linearization_setup,0.022843875049147755
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep3,total,0.3794917449122295
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep3,algorithm_online,0.3591212133760564
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep3,linearization_setup,0.02223487599985674
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep3,total,0.38135608937591314
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep3,algorithm_online,0.4234393364167772
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep3,linearization_setup,0.022973208979237825
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep3,total,0.44641254539601505
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema0-rep0,algorithm_online,0.42770878080045804
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema0-rep0,linearization_setup,0.04375524999340996
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema0-rep0,total,0.471464030793868
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema1-rep0,algorithm_online,0.3791159453103319
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema1-rep0,linearization_setup,0.025834917032625526
