schema_id,schema_family_id,schema_seed,selector_rule_id,selection_mode,ratio_numerator,ratio_denominator,max_iterations,max_depth,nontrivial_tier_count,min_required_nontrivial_tiers,has_immediate_collapse,has_empty_executable_tier,max_largest_cell_share,min_nonbase_state_cell_count,max_nonbase_state_cell_count,min_nonbase_active_action_cell_count,candidate_signal,candidate_signal_reason,near_full_collapse_threshold,diagnostic_status
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,18,17,3,False,False,0.15730337078651685,46,83,6,many_tier_executable_candidate,iterated schema produced enough executable non-collapsed tiers,0.9,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,11,10,3,False,False,0.20224719101123595,43,79,5,many_tier_executable_candidate,iterated schema produced enough executable non-collapsed tiers,0.9,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,11,10,3,False,True,0.7528089887640449,18,73,0,nonexecutable_iterated_tier,at least one nonbase iterated tier has no executable actions,0.9,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,12,10,3,False,True,0.9213483146067416,5,64,0,nonexecutable_iterated_tier,at least one nonbase iterated tier has no executable actions,0.9,ok
