schema_id,schema_family_id,schema_seed,selector_rule_id,selection_mode,ratio_numerator,ratio_denominator,max_iterations,completed_iteration_count,ordered_block_count,final_component_count,stop_reason,selected_edge_count_total,changed_union_count_total,max_depth,nontrivial_tier_count,largest_cell_share_final,near_full_collapse_threshold,diagnostic_status
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,17,17,46,no_selected_edges,43,43,18,17,0.15730337078651685,0.9,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,10,10,43,no_selected_edges,46,46,11,10,0.20224719101123595,0.9,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,10,10,18,no_selected_edges,72,71,11,10,0.7528089887640449,0.9,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,11,11,5,no_selected_edges,93,84,12,10,0.9213483146067416,0.9,ok
