schema_id,schema_family_id,schema_seed,tier_index,current_state_cell,state_cell_count,outgoing_action_cell_count,active_action_cell_count,diagnostic_status
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,7,"StateCellId(tier=7, ordinal=37)",32,55,3,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,8,"StateCellId(tier=8, ordinal=35)",28,58,3,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,9,"StateCellId(tier=9, ordinal=33)",22,46,1,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,10,"StateCellId(tier=10, ordinal=25)",18,37,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,0,"StateCellId(tier=0, ordinal=36)",89,8,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,1,"StateCellId(tier=1, ordinal=36)",64,8,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,2,"StateCellId(tier=2, ordinal=69)",50,17,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,3,"StateCellId(tier=3, ordinal=65)",33,41,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,4,"StateCellId(tier=4, ordinal=40)",23,38,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,5,"StateCellId(tier=5, ordinal=26)",19,31,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,6,"StateCellId(tier=6, ordinal=24)",13,17,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,7,"StateCellId(tier=7, ordinal=12)",12,17,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,8,"StateCellId(tier=8, ordinal=12)",11,16,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,9,"StateCellId(tier=9, ordinal=12)",9,14,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,10,"StateCellId(tier=10, ordinal=9)",8,13,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,11,"StateCellId(tier=11, ordinal=10)",5,8,0,ok
plate_support_schema_plate_motion_actions_v001,action_category,0,not_applicable,not_applicable,0,0,0,not_supported
plate_support_schema_arm_extension_actions_v001,action_category,0,not_applicable,not_applicable,0,0,0,not_supported
plate_support_schema_motion_vs_support_actions_v001,action_category,0,not_applicable,not_applicable,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,not_applicable,not_applicable,0,0,0,not_supported
