run_id,schema_class_id,timing_summary,threshold_value,threshold_label,source_file
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 12.41592416819185, ""linearization_setup"": 0.8312464589253068, ""total"": 13.247170627117157}",12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/timing_summary.csv
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 267.36573624401353, ""linearization_setup"": 0.5099853751016781, ""total"": 267.8757216191152}",12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/timing_summary.csv
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 9.74857958976645, ""linearization_setup"": 0.1351949169766158, ""total"": 9.883774506743066}",13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/timing_summary.csv
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 268.42684056132566, ""linearization_setup"": 0.5079844170249999, ""total"": 268.93482497835066}",13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/timing_summary.csv
