evaluation_id,candidate_id,parent_evaluation_id,parent_artifact_run_label,parent_run_id,instance_id,arm_id,numerator,denominator,requested_rate,selector_rule_id,schema_seed,selected_edge_count,selected_edge_share,selected_source_share,zero_selected_source_count,tier_state_cell_count_sequence,tier_active_action_cell_count_sequence,deepest_tier_index,deepest_tier_state_cell_count,deepest_tier_active_action_cell_count,largest_state_cell_share,endpoint_useful_coalescence_count,candidate_eligible,candidate_exclusion_reason
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema0,counterpoint_noisy_rate_contraction_diagnostics_v001,smoke_001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema0-rep0,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,0,8,0.007017543859649123,0.07407407407407407,100,"[108, 100]","[1140, 1132]",1,100,1132,0.018518518518518517,8,True,
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_noisy_rate_contraction_diagnostics_v001,smoke_001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-rep0,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,1,4,0.0035087719298245615,0.037037037037037035,104,"[108, 104]","[1140, 1136]",1,104,1136,0.018518518518518517,4,True,
