run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 10.066902369610034, ""linearization_setup"": 0.8256840409012511, ""total"": 10.892586410511285}"
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 259.5108923272928, ""linearization_setup"": 0.4725135409971699, ""total"": 259.98340586829}"
