evaluation_id,schema_class_id,selected_tier,predicted_movement_direction,control_action,blocked_reason,event_count
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,,no_executable_unclosed,exploit_execute,no_executable_unclosed,32
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,,no_executable_unclosed,train,no_executable_unclosed,16
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,at_selected,exploit_execute,,1
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,at_selected,explore,,95
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,at_selected,train,,16
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,at_selected,explore,,8
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,at_selected,train,,2
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,descend,descend,,12
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,at_selected,explore,,26
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,at_selected,train,,12
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,lift,lift,,14
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,at_selected,exploit_execute,,14
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,at_selected,explore,,65
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,at_selected,train,,17
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,descend,descend,,324
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,at_selected,explore,,8
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,descend,descend,,20
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,at_selected,explore,,1
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,at_selected,train,,1
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,descend,descend,,4
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,at_selected,explore,,6
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,descend,descend,,45
