run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 9.74857958976645, ""linearization_setup"": 0.1351949169766158, ""total"": 9.883774506743066}"
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 268.42684056132566, ""linearization_setup"": 0.5079844170249999, ""total"": 268.93482497835066}"
