schema_class_id,run_count,sustained_hit_count,sustained_hit_rate,schema1_minus_schema0_sustained_hit_rate,blocked_pair_count
schema0_no_contraction,1,1,1.0,0.0,0
schema1_noisy_rate_one_drop,1,1,1.0,0.0,0
