run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 12.205533626722172, ""linearization_setup"": 0.8433575829258189, ""total"": 13.04889120964799}"
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 273.89124156709295, ""linearization_setup"": 0.4874854589579627, ""total"": 274.3787270260509}"
