run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 7.692466794862412, ""linearization_setup"": 0.13896854198537767, ""total"": 7.83143533684779}"
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 267.64745486946777, ""linearization_setup"": 0.4834570420207456, ""total"": 268.1309119114885}"
