evaluation_id,instance_id,arm_id,numerator,denominator,schema_seed,base_state_count,base_edge_count,scheduled_edge_count,scheduled_edge_share,scheduled_edges_per_state_minus_one,source_count_with_scheduled_edges,min_selected_edges_per_source,mean_selected_edges_per_source,max_selected_edges_per_source,min_source_out_degree,mean_source_out_degree,max_source_out_degree,quota_rule_id,monotonicity_pass,construction_rule
counterpoint_contraction_fraction_sweep_diagnostics_v001,counterpoint_symbolic_n3_small_v001,no_contraction_control,0,18,0,108,1140,0,0.0,0.0,0,,,,,,,no_contraction_control,,identity_no_contraction
counterpoint_contraction_fraction_sweep_diagnostics_v001,counterpoint_symbolic_n3_small_v001,n01_over_18,1,18,0,108,1140,112,0.09824561403508772,1.0467289719626167,108,1,1.037037037037037,2,4,10.555555555555555,19,max_1_ceil_out_degree_times_n_over_18,True,seeded_source_local_single_block_fraction
counterpoint_contraction_fraction_sweep_diagnostics_v001,counterpoint_symbolic_n3_small_v001,n06_over_18,6,18,0,108,1140,408,0.35789473684210527,3.8130841121495327,108,2,3.7777777777777777,7,4,10.555555555555555,19,max_1_ceil_out_degree_times_n_over_18,True,seeded_source_local_single_block_fraction
