candidate_id,schema_id,schema_family_id,schema_seed,schema_mode,selection_rate,ratio_numerator,ratio_denominator,max_iterations,selector_rule_id,selection_mode,max_depth,nontrivial_tier_count,selection_status,allowed_downstream_stage,eligibility_reason
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,source_local_ratio_iterated,1/144,1,144,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,18,17,selected_training_candidate,stage4_training_health,nonflat structured schema with executable action surface
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,source_local_ratio_iterated,1/72,1,72,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,11,10,selected_training_candidate,stage4_training_health,nonflat structured schema with executable action surface
