evaluation_id,run_id,schema_class_id,episode_count,concrete_step_count,zero_step_episode_count,mean_total_reward
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,8,64,0,12.986458333333333
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,8,64,0,12.871180555555554
