evaluation_id,run_id,run_mode,candidate_group_id,schema_class_id,candidate_id,instance_id,arm_id,schema_seed,seed_bundle_id,training_replicate_index,episode_index,controller_event_index,active_tier,abstract_action,realized_action,candidate_count,success,failure_reason,fiber_departure_reason
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,1,5,0,"ActionCellId(tier=0, ordinal=77)","(2, 1, 0)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,1,6,0,"ActionCellId(tier=0, ordinal=430)","(-2, -1, 0)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,1,7,0,"ActionCellId(tier=0, ordinal=644)","(0, 0, -1)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,1,9,0,"ActionCellId(tier=0, ordinal=911)","(0, -2, -1)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,2,0,0,"ActionCellId(tier=0, ordinal=2)","(0, 1, 0)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,2,1,0,"ActionCellId(tier=0, ordinal=307)","(0, 0, 0)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,2,2,0,"ActionCellId(tier=0, ordinal=596)","(0, 1, 2)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,2,3,0,"ActionCellId(tier=0, ordinal=925)","(2, 0, 0)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,2,5,0,"ActionCellId(tier=0, ordinal=116)","(-2, 0, 0)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,2,6,0,"ActionCellId(tier=0, ordinal=362)","(2, 1, 0)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,2,7,0,"ActionCellId(tier=0, ordinal=719)","(0, 0, 0)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,2,9,0,"ActionCellId(tier=0, ordinal=1002)","(0, 1, 1)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,3,0,0,"ActionCellId(tier=0, ordinal=65)","(2, 1, 1)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,3,1,0,"ActionCellId(tier=0, ordinal=436)","(0, 1, 1)",1,True,,
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_small_v001,schema0_no_contraction,0,seed-7fe8666539580bdb,0,3,2,0,"ActionCellId(tier=0, ordinal=775)","(0, -1, 1)",1,True,,
