count_value,state_count,share
1,12,0.1348314606741573
3,14,0.15730337078651685
4,27,0.30337078651685395
5,16,0.1797752808988764
6,4,0.0449438202247191
7,10,0.11235955056179775
8,3,0.033707865168539325
9,2,0.02247191011235955
10,1,0.011235955056179775
