run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 12.41592416819185, ""linearization_setup"": 0.8312464589253068, ""total"": 13.247170627117157}"
counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 267.36573624401353, ""linearization_setup"": 0.5099853751016781, ""total"": 267.8757216191152}"
