evaluation_id,schema_class_id,active_tier,failure_reason,event_count
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,,128
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,,8
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,,26
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,,79
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,,8
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,,1
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,,6
