evaluation_id,schema_class_id,tier_index,event_count
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,160
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,0,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,10,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,11,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,12,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,13,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,14,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,15,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,16,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,17,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,18,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,19,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,20,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,23,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,24,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,25,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,26,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,27,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,28,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,29,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,3,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,30,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,31,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,32,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,5,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,6,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,7,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,579
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,579
