candidate_id,schema_id,tier,controller_step_count,min_active_action_cell_count,mean_active_action_cell_count,max_active_action_cell_count
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,0,25,1,1.0,1
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,1,1521,1,1.0,1
