run_id,schema_class_id,timing_summary
counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,"{""algorithm_online"": 0.21443876344710588, ""linearization_setup"": 0.004383416962809861, ""total"": 0.21882218040991575}"
counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,"{""algorithm_online"": 0.3364570683334023, ""linearization_setup"": 0.01579312514513731, ""total"": 0.3522501934785396}"
