evaluation_id,run_id,schema_class_id,status,comparison_health_class,hit_status,concrete_step_count,lift_success_count,learner_update_count
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,schema0_no_contraction,success,comparison_ready,sustained_hit,64,64,80
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,schema1_noisy_rate_one_drop,success,schema1_lift_failure_dominant,never_hit,16,16,128
