count_value,state_count,share
0,3,0.033707865168539325
2,4,0.0449438202247191
3,10,0.11235955056179775
4,3,0.033707865168539325
5,4,0.0449438202247191
6,41,0.4606741573033708
7,12,0.1348314606741573
8,12,0.1348314606741573
