evaluation_id,run_id,run_mode,candidate_group_id,schema_class_id,candidate_id,instance_id,arm_id,schema_seed,training_replicate_index,tier_index,state_cell_count,active_action_cell_count,raw_historical_action_cell_record_count,largest_state_cell_share,full_collapse,liftability_semantics_id,executable_semantics,raw_action_cell_storage_count,threshold_value,threshold_label,source_file
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0_no_contraction-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema0_no_contraction,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,schema0_no_contraction,0,0,0,3580,49172,49172,0.00027932960893854746,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,49172,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,0,3580,49172,49172,0.00027932960893854746,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,49172,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,1,1035,24258,24258,0.5865921787709497,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,24258,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,2,729,19716,19716,0.6192737430167597,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,19716,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,3,555,15863,15863,0.6773743016759777,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,15863,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,4,435,12936,12936,0.7139664804469273,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,12936,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,5,354,11067,11067,0.732122905027933,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,11067,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,6,297,9702,9702,0.7472067039106145,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,9702,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,7,240,7968,7968,0.774022346368715,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,7968,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,0,8,217,7388,7388,0.7832402234636872,False,state_collapser_v072_pointwise,static_quotient_action_storage_not_pointwise,7388,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/smoke_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/tower_shape_summary.csv
