arm_id,episode_count,min_total_reward,mean_total_reward,max_total_reward
plate_support_direct_concrete_baseline,128,-128.0,-78.71875,90.0
plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,128,-50.0,-44.515625,87.0
