pair_id,replicate_index,baseline_arm_id,candidate_arm_id,pair_complete,baseline_target_hit_rate,candidate_target_hit_rate,target_hit_rate_delta,baseline_mean_total_reward,candidate_mean_total_reward,mean_total_reward_delta,baseline_mean_step_count,candidate_mean_step_count,mean_step_count_delta,claim_boundary
pairrep000,0,plate_support_direct_concrete_baseline,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,1,0.09375,0.03125,-0.0625,-83.6875,-46.84375,36.84375,48.78125,50.0,1.21875,bounded paired smoke comparison under the Stage 5 target and budget; not a general tower-performance claim
pairrep001,1,plate_support_direct_concrete_baseline,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,1,0.15625,0.03125,-0.125,-71.78125,-46.40625,25.375,45.375,49.5625,4.1875,bounded paired smoke comparison under the Stage 5 target and budget; not a general tower-performance claim
pairrep002,2,plate_support_direct_concrete_baseline,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,1,0.125,0.0625,-0.0625,-78.1875,-42.625,35.5625,46.8125,48.9375,2.125,bounded paired smoke comparison under the Stage 5 target and budget; not a general tower-performance claim
pairrep003,3,plate_support_direct_concrete_baseline,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,1,0.09375,0.0625,-0.03125,-81.21875,-42.1875,39.03125,47.0625,48.5,1.4375,bounded paired smoke comparison under the Stage 5 target and budget; not a general tower-performance claim
